,Symbol,Market Cap,ROE,EPS
0,AMZN,5267814742.777252,7.797950072688528e-06,0.1100006103515625
1,AAPL,8150999143.243408,-7.187068785723327e-06,-0.3499908447265625
2,MSFT,6001472053.234863,-0.0002548011740707017,-3.699981689453125
